City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
95,Grand Gaube,MU,2022-01-26 23:30:14,-20.0064,57.6608,71.38,69,13,3.0
96,Geraldton,AU,2022-01-26 23:30:15,-28.7667,114.6,68.41,77,0,9.22
97,Quang Ngai,VN,2022-01-26 23:30:15,15.1167,108.8,70.07,88,25,4.47
98,Barrow,US,2022-01-26 23:26:54,71.2906,-156.7887,-11.18,70,0,17.27
99,Itupiranga,BR,2022-01-26 23:30:16,-5.1347,-49.3267,75.52,95,100,2.51
100,Anzio,IT,2022-01-26 23:30:16,41.4853,12.6179,49.46,82,14,7.0
101,Tasiilaq,GL,2022-01-26 23:27:28,65.6145,-37.6368,17.76,82,100,4.85
102,Half Moon Bay,US,2022-01-26 23:28:54,37.4636,-122.4286,67.1,59,0,4.61
103,Ushuaia,AR,2022-01-26 23:28:54,-54.8,-68.3,51.46,71,75,32.21
104,Poum,NC,2022-01-26 23:30:17,-20.2333,164.0167,81.34,74,46,8.88
105,Novoagansk,RU,2022-01-26 23:30:17,61.9449,76.6625,-2.83,100,96,7.05
106,Luderitz,NA,2022-01-26 23:30:17,-26.6481,15.1594,69.75,66,16,19.06
107,Poyarkovo,RU,2022-01-26 23:30:19,49.6,128.6833,-18.11,99,70,4.7
108,Alvaraes,BR,2022-01-26 23:30:19,-3.2208,-64.8042,78.67,97,84,1.54
109,Komsomolskiy,UZ,2022-01-26 23:30:20,40.4272,71.7189,31.42,74,0,6.91
110,San Quintin,MX,2022-01-26 23:30:20,30.4833,-115.95,61.3,61,100,10.13
111,Georgetown,MY,2022-01-26 23:28:15,5.4112,100.3354,77.95,93,20,2.3
112,Hendek,TR,2022-01-26 23:30:20,40.7994,30.7481,30.52,92,97,5.84
113,Gualeguay,AR,2022-01-26 23:30:21,-33.1416,-59.3097,70.3,85,77,19.39
114,San Patricio,US,2022-01-26 23:28:21,28.017,-97.5169,62.55,63,87,9.84
115,Saint George,US,2022-01-26 23:30:21,37.1041,-113.5841,54.43,21,0,1.01
116,Hihya,EG,2022-01-26 23:30:22,30.6713,31.588,47.28,79,65,13.51
117,La Ronge,CA,2022-01-26 23:30:22,55.1001,-105.2842,16.05,67,75,12.66
118,Seka,TH,2022-01-26 23:30:22,17.9285,103.9552,66.36,58,10,3.98
119,Chuy,UY,2022-01-26 23:30:23,-33.6971,-53.4616,70.39,92,98,8.95
120,Chicama,PE,2022-01-26 23:30:23,-7.8447,-79.1469,68.54,70,77,7.31
121,Simpang,ID,2022-01-26 23:30:23,-1.2667,104.0833,75.51,89,100,1.32
122,Carutapera,BR,2022-01-26 23:30:24,-1.195,-46.02,77.86,84,91,5.46
123,Hasaki,JP,2022-01-26 23:28:38,35.7333,140.8333,36.0,77,58,7.09
124,Bograd,RU,2022-01-26 23:30:24,54.2344,90.8328,-2.45,90,100,2.57
125,Bambous Virieux,MU,2022-01-26 23:30:25,-20.3428,57.7575,71.22,83,20,3.44
126,Sovetskiy,RU,2022-01-26 23:30:25,61.3614,63.5842,-1.84,100,99,4.65
127,Hermanus,ZA,2022-01-26 23:30:25,-34.4187,19.2345,64.8,80,84,9.98
128,Lavrentiya,RU,2022-01-26 23:30:26,65.5833,-171.0,-18.49,89,29,5.68
129,Khani,GE,2022-01-26 23:30:26,41.9563,42.9566,29.77,96,100,2.08
130,Broome,US,2022-01-26 23:30:26,42.2506,-75.833,12.58,69,0,4.0
131,Saint Anthony,US,2022-01-26 23:26:09,45.0205,-93.218,23.31,73,0,5.99
132,San Vicente,AR,2022-01-26 23:30:27,-26.6167,-54.1333,70.9,95,83,6.17
133,Kintinku,TZ,2022-01-26 23:31:27,-5.8833,35.2333,71.46,79,90,4.23
134,Codrington,AU,2022-01-26 23:31:27,-38.2667,141.9667,81.55,64,50,3.85
135,Carnarvon,AU,2022-01-26 23:29:39,-24.8667,113.6333,75.27,78,100,18.41
136,Letpadan,MM,2022-01-26 23:31:28,17.7833,95.75,61.54,59,10,4.47
137,Thompson,CA,2022-01-26 23:26:32,55.7435,-97.8558,-0.24,71,40,12.66
138,Maputo,MZ,2022-01-26 23:31:28,-25.9653,32.5892,75.22,88,40,3.44
139,Tuatapere,NZ,2022-01-26 23:31:29,-46.1333,167.6833,57.81,56,73,8.88
140,Chokurdakh,RU,2022-01-26 23:31:29,70.6333,147.9167,-27.87,97,51,12.21
141,Calvinia,ZA,2022-01-26 23:31:29,-31.4707,19.776,74.07,29,0,3.6
142,Maniitsoq,GL,2022-01-26 23:31:30,65.4167,-52.9,15.3,90,99,13.31
143,Praia,CV,2022-01-26 23:31:30,14.9215,-23.5087,72.14,78,75,23.02
144,Mahebourg,MU,2022-01-26 23:31:30,-20.4081,57.7,71.26,83,20,3.44
145,Santa Rosa,PH,2022-01-26 23:31:31,14.3122,121.1114,81.86,82,45,9.48
146,Peleduy,RU,2022-01-26 23:31:31,59.6289,112.7406,-11.2,100,98,2.62
147,Castro,BR,2022-01-26 23:31:31,-24.7911,-50.0119,69.06,88,69,1.36
148,Tura,IN,2022-01-26 23:31:32,25.5198,90.2201,54.39,89,76,3.67
149,Manokwari,ID,2022-01-26 23:31:32,-0.8667,134.0833,82.38,73,100,5.68
150,Isangel,VU,2022-01-26 23:31:32,-19.55,169.2667,86.11,84,75,4.61
151,Chute-Aux-Outardes,CA,2022-01-26 23:31:33,49.1168,-68.399,-1.89,53,0,5.75
152,Arona,ES,2022-01-26 23:31:33,28.0996,-16.681,57.51,80,20,13.8
153,Te Anau,NZ,2022-01-26 23:31:33,-45.4167,167.7167,58.62,48,47,4.43
154,Arlit,NE,2022-01-26 23:31:34,18.7369,7.3853,57.96,26,27,7.85
155,Luena,AO,2022-01-26 23:31:34,-11.7833,19.9167,62.24,97,100,4.85
156,Port Lincoln,AU,2022-01-26 23:31:15,-34.7333,135.8667,71.94,78,45,7.49
157,Orshanka,RU,2022-01-26 23:31:34,56.9161,47.8933,3.25,97,95,4.23
158,Raudeberg,NO,2022-01-26 23:31:35,61.9875,5.1352,40.19,92,100,13.0
159,Bethel,US,2022-01-26 23:30:44,41.3712,-73.414,23.56,50,0,9.22
160,Baturaja,ID,2022-01-26 23:31:35,-4.1333,104.1667,73.53,97,100,1.77
161,Manado,ID,2022-01-26 23:31:36,1.487,124.8455,77.77,94,20,0.0
162,Olafsvik,IS,2022-01-26 23:31:36,64.8945,-23.7142,34.12,59,100,7.78
163,Black River,JM,2022-01-26 23:31:36,18.0264,-77.8487,80.6,79,39,2.84
164,Blagoyevo,RU,2022-01-26 23:31:37,63.3667,47.9167,2.37,100,98,3.74
165,Ponta Do Sol,PT,2022-01-26 23:31:37,32.6667,-17.1,60.71,67,79,6.89
166,Kitui,KE,2022-01-26 23:31:37,-1.367,38.0106,60.73,69,7,1.59
167,Pagudpud,PH,2022-01-26 23:31:38,18.5616,120.7868,76.96,94,99,15.41
168,Lagoa,PT,2022-01-26 23:31:38,39.05,-27.9833,58.68,80,8,12.17
169,Ucluelet,CA,2022-01-26 23:30:30,48.9329,-125.5528,45.09,86,47,0.87
170,Russell,US,2022-01-26 23:31:38,32.3502,-85.1999,56.48,36,0,8.05
171,Serenje,ZM,2022-01-26 23:31:39,-13.2325,30.2352,61.09,98,100,5.26
172,San Carlos De Bariloche,AR,2022-01-26 23:30:09,-41.1456,-71.3082,80.35,28,40,12.66
173,Batetskiy,RU,2022-01-26 23:30:17,58.6461,30.3027,20.21,91,100,9.13
174,Saldanha,ZA,2022-01-26 23:31:39,-33.0117,17.9442,60.85,92,3,12.57
175,Buin,CL,2022-01-26 23:30:26,-33.7333,-70.75,85.73,49,0,5.75
176,Podor,MR,2022-01-26 23:31:40,16.6527,-14.9587,80.55,22,0,2.3
177,Talavera De La Reina,ES,2022-01-26 23:31:40,39.9635,-4.8308,43.9,67,24,11.65
178,Mbini,GQ,2022-01-26 23:31:41,1.574,9.6134,78.64,86,76,7.96
179,Saint-Philippe,RE,2022-01-26 23:31:41,-21.3585,55.7679,71.19,66,79,8.03
180,Ribeira Grande,PT,2022-01-26 23:31:42,38.5167,-28.7,59.85,78,17,14.56
181,Terrace,CA,2022-01-26 23:32:42,54.5163,-128.6035,37.31,87,75,5.75
182,Vila Franca Do Campo,PT,2022-01-26 23:32:42,37.7167,-25.4333,59.41,77,58,10.49
183,Biddeford,US,2022-01-26 23:32:43,43.4926,-70.4534,16.02,48,87,5.01
184,Ndjole,GA,2022-01-26 23:32:43,-0.1783,10.7649,75.07,95,71,2.35
185,Aklavik,CA,2022-01-26 23:32:43,68.2191,-135.0107,0.43,71,100,10.36
186,Bengkulu,ID,2022-01-26 23:32:44,-3.8004,102.2655,75.76,90,100,3.94
187,Wenling,CN,2022-01-26 23:32:44,28.3669,121.36,50.92,92,99,12.68
188,Concarneau,FR,2022-01-26 23:32:44,47.875,-3.9225,38.17,89,0,1.83
189,Vardo,NO,2022-01-26 23:31:25,70.3705,31.1107,25.81,71,54,14.63
190,Bonnyville,CA,2022-01-26 23:30:30,54.2668,-110.735,33.6,84,100,14.9
191,Newport,GB,2022-01-26 23:30:30,51.5877,-2.9984,48.25,80,97,1.99
192,Lompoc,US,2022-01-26 23:32:45,34.6391,-120.4579,69.94,65,0,8.05
193,Aripuana,BR,2022-01-26 23:32:45,-9.1667,-60.6333,71.49,100,100,1.34
194,Ugoofaaru,MV,2022-01-26 23:31:45,5.6667,73.0,78.98,61,100,8.66
195,Sao Filipe,CV,2022-01-26 23:32:46,14.8961,-24.4956,74.66,70,86,14.36
196,Yumen,CN,2022-01-26 23:32:46,40.2833,97.2,17.4,48,43,7.92
197,Charlottesville,US,2022-01-26 23:29:21,38.0293,-78.4767,30.81,58,50,1.01
198,Airai,TL,2022-01-26 23:29:31,-8.9266,125.4092,65.19,80,100,3.47
199,Leh,IN,2022-01-26 23:32:47,34.1667,77.5833,-6.75,89,99,3.67
200,Shimoda,JP,2022-01-26 23:32:47,34.6667,138.95,50.36,77,99,1.83
201,Lahij,YE,2022-01-26 23:32:47,13.1667,44.5833,67.57,79,66,4.25
202,Renqiu,CN,2022-01-26 23:32:48,38.6989,116.0936,22.91,54,77,5.37
203,Mataram,ID,2022-01-26 23:32:48,-8.5833,116.1167,79.61,84,100,6.04
204,Kimbe,PG,2022-01-26 23:32:48,-5.5502,150.1429,86.58,67,89,2.8
205,Conceicao Da Barra,BR,2022-01-26 23:32:49,-18.5933,-39.7322,74.95,89,96,5.1
206,Bathsheba,BB,2022-01-26 23:32:49,13.2167,-59.5167,75.81,78,75,8.05
207,Juneau,US,2022-01-26 23:32:49,58.3019,-134.4197,37.85,95,100,0.0
208,Tsaratanana,MG,2022-01-26 23:32:50,-16.7833,47.65,68.68,90,99,6.11
209,Touros,BR,2022-01-26 23:32:50,-5.1989,-35.4608,79.7,75,46,12.68
210,Nouakchott,MR,2022-01-26 23:32:50,18.0858,-15.9785,69.73,67,80,15.93
211,Gat,IL,2022-01-26 23:32:51,31.61,34.7642,45.28,100,99,27.96
212,Ankang,CN,2022-01-26 23:32:51,32.68,109.0172,36.5,89,99,3.29
213,Panaba,MX,2022-01-26 23:32:51,21.2833,-88.2667,72.57,86,57,8.81
214,Narsaq,GL,2022-01-26 23:29:02,60.9167,-46.05,19.62,83,83,10.96
215,Rocha,UY,2022-01-26 23:32:52,-34.4833,-54.3333,69.53,91,100,17.81
216,Dobroye,RU,2022-01-26 23:32:52,52.8678,39.8109,-1.95,100,88,2.75
217,Denpasar,ID,2022-01-26 23:32:33,-8.65,115.2167,80.26,88,75,11.5
218,Tazovskiy,RU,2022-01-26 23:32:52,67.4667,78.7,3.81,94,100,13.29
219,Terney,RU,2022-01-26 23:32:53,45.0503,136.6092,12.9,71,60,12.03
220,Safaga,EG,2022-01-26 23:32:53,26.7292,33.9365,51.85,48,0,12.73
221,Constitucion,CL,2022-01-26 23:32:53,-35.3333,-72.4167,59.41,93,12,7.96
222,Sobolevo,RU,2022-01-26 23:31:23,54.4299,31.8996,9.09,99,100,6.08
223,Tupancireta,BR,2022-01-26 23:32:54,-29.0806,-53.8358,72.39,94,88,5.32
224,Wanning,CN,2022-01-26 23:29:36,18.8003,110.3967,70.63,92,58,4.65
225,Marathon,US,2022-01-26 23:32:54,44.9,-89.7668,10.18,60,0,1.99
226,Adre,TD,2022-01-26 23:32:55,13.4667,22.2,59.47,24,81,23.89
227,Wewak,PG,2022-01-26 23:32:55,-3.5534,143.6268,83.41,74,84,1.57
228,Los Llanos De Aridane,ES,2022-01-26 23:32:55,28.6585,-17.9182,56.95,81,75,5.99
229,Kahului,US,2022-01-26 23:32:23,20.8947,-156.47,82.98,62,20,17.27
230,Upernavik,GL,2022-01-26 23:31:03,72.7868,-56.1549,9.09,82,89,26.91
231,Provideniya,RU,2022-01-26 23:33:56,64.3833,-173.3,-3.89,71,75,4.47
232,Berlevag,NO,2022-01-26 23:33:56,70.8578,29.0864,23.04,81,79,14.45
233,Huangnihe,CN,2022-01-26 23:33:56,43.5583,128.0239,0.28,95,28,3.94
234,Fernie,CA,2022-01-26 23:33:57,49.5,-115.0687,32.09,97,100,0.27
235,Ayagoz,KZ,2022-01-26 23:33:57,47.9714,80.4392,1.04,100,100,3.0
236,Ilulissat,GL,2022-01-26 23:33:57,69.2167,-51.1,12.22,79,100,13.8
