City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
447,Port Lincoln,AU,-34.7333,135.8667,71.82,65,89,15.28,overcast clouds
448,Los Llanos De Aridane,ES,28.6585,-17.9182,55.15,67,0,9.22,clear sky
449,Sinnamary,GF,5.3833,-52.95,74.97,87,31,6.38,scattered clouds
450,Qarayeri,AZ,40.7886,46.3066,29.28,59,40,6.91,scattered clouds
451,Kainantu,PG,-6.2887,145.8655,67.17,85,100,2.48,light rain
452,Perth,AU,-31.9333,115.8333,100.02,27,0,12.66,clear sky
453,Porbandar,IN,21.6422,69.6093,49.98,76,27,0.0,haze
454,Kholmogory,RU,64.2229,41.656,15.91,97,97,3.91,overcast clouds
455,Vung Tau,VN,10.346,107.0843,79.77,72,47,5.37,scattered clouds
456,Altay,CN,47.8667,88.1167,2.77,54,0,6.82,clear sky
457,Kungurtug,RU,50.5994,97.5228,-13.36,94,45,1.34,scattered clouds
458,Itaquyry,PY,-24.9333,-55.2167,71.82,95,0,2.46,clear sky
459,Bayanday,RU,53.0661,105.5139,-8.14,98,80,3.04,broken clouds
460,Christchurch,NZ,-43.5333,172.6333,74.32,68,96,7.0,overcast clouds
461,Mount Gambier,AU,-37.8333,140.7667,72.05,55,54,12.8,broken clouds
462,Marsh Harbour,BS,26.5412,-77.0636,73.65,66,100,20.54,overcast clouds
463,Kasongo-Lunda,CD,-6.4667,16.8167,70.27,87,100,0.29,overcast clouds
464,Magadan,RU,59.5667,150.8,13.15,76,96,16.42,overcast clouds
465,Wagar,SD,16.1525,36.2032,62.01,72,6,11.01,clear sky
466,Cayenne,GF,4.9333,-52.3333,74.08,90,100,9.22,overcast clouds
467,Blairmore,CA,49.6,-114.4353,34.72,92,87,7.81,overcast clouds
468,Mogliano Veneto,IT,45.565,12.235,40.15,80,100,1.14,mist
469,Humaita,BR,-7.5061,-63.0208,72.99,99,100,3.11,moderate rain
470,Bonfim,BR,3.0833,-59.95,81.28,55,95,6.58,overcast clouds
471,Oda,JP,35.1833,132.5,47.17,52,87,13.0,overcast clouds
472,Karratha,AU,-20.7377,116.8463,89.67,46,64,13.22,broken clouds
473,Luanda,AO,-8.8368,13.2343,77.58,85,100,3.89,overcast clouds
474,Wana,PK,32.2989,69.5725,42.76,46,0,2.91,clear sky
475,Kassala,SD,15.451,36.4,63.77,65,46,5.53,scattered clouds
476,Quatre Cocos,MU,-20.2078,57.7625,82.09,79,6,8.72,clear sky
477,Kamaishi,JP,39.2667,141.8833,34.75,47,51,14.74,broken clouds
478,Pisco,PE,-13.7,-76.2167,69.85,73,0,3.44,clear sky
479,Thunder Bay,CA,48.4001,-89.3168,3.18,72,75,3.44,broken clouds
480,Revelstoke,CA,50.9832,-118.2023,23.02,93,100,0.0,overcast clouds
481,Winchester,GB,51.0651,-1.3187,52.27,93,100,3.0,mist
482,Narsingi,IN,18.0333,78.4333,60.75,34,13,5.37,few clouds
483,Muravlenko,RU,63.7898,74.523,-14.17,100,78,8.52,broken clouds
484,Juneau,US,58.3019,-134.4197,42.8,83,100,23.02,light rain
485,Ginda,IN,30.6945,78.4932,45.64,34,0,4.47,clear sky
486,Pithora,IN,21.2667,82.5167,60.17,36,0,1.88,clear sky
487,Lenine,UA,45.2986,35.7771,35.89,94,93,9.84,overcast clouds
488,Khash,IR,28.2211,61.2158,45.27,72,0,4.34,clear sky
489,Boa Vista,BR,2.8197,-60.6733,80.58,61,20,10.36,few clouds
490,Glencoe,ZA,-28.1783,30.147,58.23,98,76,1.83,broken clouds
491,Campbell River,CA,50.0163,-125.2446,36.32,100,100,3.44,mist
492,Tomatlan,MX,19.9333,-105.25,67.41,79,21,2.82,few clouds
493,Krasnoselkup,RU,65.7,82.4667,3.49,96,100,10.36,overcast clouds
494,Touros,BR,-5.1989,-35.4608,74.3,79,100,8.34,moderate rain
495,Mayo,US,38.8876,-76.5119,33.37,93,100,5.01,light snow
496,Oskemen,KZ,49.9565,82.6119,-14.08,75,100,0.0,fog
497,Cabo San Lucas,MX,22.8909,-109.9124,70.52,64,0,1.01,clear sky
498,Victoria Point,AU,-27.5833,153.3,89.08,64,33,8.01,scattered clouds
499,Melville,US,40.7934,-73.4151,31.05,83,100,4.0,snow
500,Reconquista,AR,-29.15,-59.65,70.43,44,0,8.79,clear sky
501,Kargopol,RU,61.5071,38.9456,15.49,96,100,4.16,light snow
502,Lerwick,GB,60.1545,-1.1494,50.0,93,100,34.52,overcast clouds
503,Emborion,GR,40.4833,21.55,37.83,81,99,3.36,overcast clouds
504,Roald,NO,62.5833,6.1333,45.09,100,100,19.57,drizzle
505,Inongo,CD,-1.95,18.2667,74.77,70,100,4.61,overcast clouds
506,Bloomfield,US,40.8068,-74.1854,31.14,90,100,3.0,light snow
507,Lata,PT,40.1629,-8.3327,44.04,57,0,5.23,clear sky
508,Clarence Town,AU,-32.5833,151.7833,89.28,31,1,6.98,clear sky
509,Aleksandriyskaya,RU,44.2272,43.3453,23.63,92,69,4.79,broken clouds
510,Churapcha,RU,62.0025,132.4325,-21.59,96,100,3.71,overcast clouds
511,Rosario,AR,-32.9468,-60.6393,68.83,76,0,6.91,clear sky
512,New Port Richey,US,28.2442,-82.7193,61.21,71,100,7.0,overcast clouds
513,Kudat,MY,6.8837,116.8477,84.13,74,20,2.3,few clouds
514,Bonavista,CA,48.6499,-53.1147,31.12,77,81,17.22,broken clouds
515,Saint-Denis,FR,48.9167,2.3333,44.11,96,100,5.01,drizzle
516,Rawatsar,IN,29.2833,74.3833,54.25,39,0,3.71,clear sky
517,Goundam,ML,16.4145,-3.6708,66.69,18,6,10.33,clear sky
518,Praia Da Vitoria,PT,38.7333,-27.0667,57.76,82,20,10.94,few clouds
519,Dergachi,RU,51.2328,48.7659,-0.11,100,100,4.07,overcast clouds
520,Tamiahua,MX,21.2667,-97.45,57.22,91,100,19.86,overcast clouds
521,Ahipara,NZ,-35.1667,173.1667,75.63,49,100,7.94,overcast clouds
522,Sabang,ID,5.8933,95.3214,82.38,76,16,10.71,few clouds
523,Sangar,RU,63.9242,127.4739,-25.13,99,95,1.16,overcast clouds
524,Nemuro,JP,43.3236,145.575,27.03,70,66,10.71,broken clouds
525,Lasa,IT,46.6166,10.7002,34.68,61,52,7.85,broken clouds
526,Ugoofaaru,MV,5.6667,73.0,82.2,69,62,19.98,broken clouds
527,Haines Junction,CA,60.7522,-137.5108,26.55,68,100,10.36,overcast clouds
528,Chabahar,IR,25.2919,60.643,68.05,72,0,4.85,clear sky
529,Tigil,RU,57.8,158.6667,32.31,71,98,17.98,overcast clouds
530,Sao Felix Do Xingu,BR,-6.6447,-51.995,70.83,99,100,1.23,light rain
531,Narsaq,GL,60.9167,-46.05,19.62,96,100,3.91,snow
532,Oranjemund,NA,-28.55,16.4333,62.56,91,6,14.14,clear sky
533,Taltal,CL,-25.4,-70.4833,66.16,79,7,2.73,clear sky
534,Kinsale,IE,51.7075,-8.5306,51.24,93,75,19.57,broken clouds
535,Miri,MY,4.4148,114.0089,82.54,83,40,4.61,scattered clouds
536,Port Hueneme,US,34.1478,-119.1951,65.97,11,0,17.27,clear sky
537,Atasu,KZ,48.6814,71.6433,12.38,75,100,9.98,overcast clouds
538,Qasigiannguit,GL,68.8193,-51.1922,23.25,60,100,29.19,overcast clouds
539,Puerto Madero,MX,14.7208,-92.4215,77.2,83,40,2.3,scattered clouds
540,Lorengau,PG,-2.0226,147.2712,81.97,76,100,2.3,overcast clouds
541,Binzhou,CN,37.3667,118.0167,40.26,30,20,2.46,few clouds
542,Azle,US,32.8951,-97.5459,47.01,49,0,1.99,clear sky
543,Bedele,ET,8.456,36.353,53.58,65,1,0.49,clear sky
544,Clyde River,CA,70.4692,-68.5914,-9.17,84,100,29.93,heavy snow
545,Mantenopolis,BR,-18.8625,-41.1228,69.37,96,37,4.56,scattered clouds
546,Mareeba,AU,-17.0,145.4333,81.32,91,100,3.38,overcast clouds
547,Biak,ID,-0.9131,122.8766,81.37,71,100,3.18,overcast clouds
548,Sartell,US,45.6216,-94.2069,8.94,78,0,3.44,clear sky
549,Esmeraldas,BR,-19.7625,-44.3139,71.91,85,100,2.3,overcast clouds
550,Obama,JP,35.4958,135.746,46.62,73,100,10.76,overcast clouds
551,Sola,VU,-13.8833,167.55,80.42,83,100,20.09,heavy intensity rain
552,Alyangula,AU,-13.8483,136.4192,87.67,74,100,13.8,moderate rain
553,San Andres,CO,12.5847,-81.7006,80.62,69,20,8.05,few clouds
554,Black River,JM,18.0264,-77.8487,78.8,78,43,3.04,scattered clouds
555,Farkhor,TJ,37.4922,69.4036,44.65,93,100,4.32,overcast clouds
556,Mao,ES,39.8885,4.2658,46.96,76,0,8.05,clear sky
557,Daru,PG,-9.0763,143.2092,88.07,59,90,5.75,moderate rain
558,Ornskoldsvik,SE,63.2909,18.7153,28.22,86,100,6.91,overcast clouds
559,Soledad,CO,10.9184,-74.7646,80.96,78,20,16.11,few clouds
