City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
130,Airai,TL,-8.9266,125.4092,72.45,60,100,5.64,overcast clouds
131,Fort-Shevchenko,KZ,44.5086,50.263,34.75,71,97,11.18,overcast clouds
132,Cabo San Lucas,MX,22.8909,-109.9124,70.52,64,10,1.99,clear sky
133,Bredasdorp,ZA,-34.5322,20.0403,59.29,75,52,6.4,broken clouds
134,Nitra,SK,48.3076,18.0845,37.17,79,83,1.99,broken clouds
135,Caravelas,BR,-17.7125,-39.2481,75.43,94,40,6.24,scattered clouds
136,Tura,IN,25.5198,90.2201,65.91,35,0,2.68,clear sky
137,Najran,SA,17.4924,44.1277,47.05,33,89,1.25,overcast clouds
138,Kavieng,PG,-2.5744,150.7967,83.28,73,100,3.04,light rain
139,Durango,MX,24.8333,-104.8333,43.68,83,55,3.96,broken clouds
140,Marsh Harbour,BS,26.5412,-77.0636,73.58,66,100,21.41,overcast clouds
141,Port Moresby,PG,-9.4431,147.1797,74.62,94,40,17.27,haze
142,Liwale,TZ,-9.7667,37.9333,68.9,95,100,3.31,light rain
143,Bireun,ID,5.203,96.7009,84.33,69,11,4.23,few clouds
144,Maceio,BR,-9.6658,-35.7353,80.04,89,20,2.3,moderate rain
145,Dikson,RU,73.5069,80.5464,2.07,94,100,18.16,overcast clouds
146,Luhyny,UA,51.082,28.4006,27.99,91,99,16.87,overcast clouds
147,Kiunga,PG,-6.1219,141.2906,83.23,66,96,2.37,overcast clouds
148,Nombre De Dios,MX,23.85,-104.2333,49.8,80,0,9.46,clear sky
149,Clyde River,CA,70.4692,-68.5914,-9.17,84,100,29.93,heavy snow
150,Saint George,US,37.1041,-113.5841,50.47,26,0,4.0,clear sky
151,Yatou,CN,37.15,122.3833,36.34,43,39,12.55,scattered clouds
152,Lata,PT,40.1629,-8.3327,44.04,57,0,5.7,clear sky
153,Deputatskiy,RU,69.3,139.9,-22.29,97,85,1.79,overcast clouds
154,Severo-Yeniseyskiy,RU,60.3725,93.0408,2.89,94,99,5.53,overcast clouds
155,Port-De-Bouc,FR,43.4,4.9833,43.84,70,0,11.5,clear sky
156,Siedlce,PL,52.1677,22.2901,28.06,85,68,13.65,broken clouds
157,Blyznyuky,UA,48.8578,36.5551,29.59,97,100,14.92,light snow
158,Padang,ID,-0.9492,100.3543,86.05,67,88,4.68,overcast clouds
159,Half Moon Bay,US,37.4636,-122.4286,58.62,64,0,0.0,clear sky
160,Sept-Iles,CA,50.2001,-66.3821,-8.88,64,0,8.05,clear sky
161,Biak,ID,-0.9131,122.8766,82.45,68,100,2.44,overcast clouds
162,Souillac,MU,-20.5167,57.5167,84.36,94,40,1.14,scattered clouds
163,Moissala,TD,8.3404,17.7663,66.47,25,31,4.21,scattered clouds
164,Andenes,NO,69.3143,16.1194,26.58,63,15,23.02,few clouds
165,Guarizama,HN,14.9167,-86.3333,65.37,92,79,3.0,broken clouds
166,Longyearbyen,SJ,78.2186,15.6401,8.44,78,0,16.11,clear sky
167,Taksimo,RU,56.3444,114.8794,-2.11,86,54,0.89,broken clouds
168,East London,ZA,-33.0153,27.9116,65.64,79,4,8.34,clear sky
169,Vardo,NO,70.3705,31.1107,32.18,58,100,20.89,light snow
170,Kutum,SD,14.2,24.6667,46.4,23,5,7.7,clear sky
171,Kirkuk,IQ,35.4681,44.3922,40.23,70,15,5.68,few clouds
172,Pevek,RU,69.7008,170.3133,-10.93,99,100,2.28,overcast clouds
173,Lokachi,UA,50.737,24.6494,26.44,86,100,16.96,overcast clouds
174,Hofn,IS,64.2539,-15.2082,29.03,54,54,25.68,broken clouds
175,Altay,CN,47.8667,88.1167,6.69,61,0,4.85,clear sky
176,Coihaique,CL,-45.5752,-72.0662,66.81,42,0,3.44,clear sky
177,Kapaa,US,22.0752,-159.319,78.78,71,0,1.01,clear sky
178,Minsk,BY,53.9,27.5667,29.95,89,94,17.27,overcast clouds
179,Ballina,AU,-28.8667,153.5667,84.38,71,40,12.66,scattered clouds
180,Makaryev,RU,57.8797,43.8069,12.33,94,99,7.52,overcast clouds
181,Port Blair,IN,11.6667,92.75,84.24,74,75,12.66,broken clouds
182,Palmer,US,42.1584,-72.3287,31.08,72,100,5.75,overcast clouds
183,Cherskiy,RU,68.75,161.3,-11.11,95,100,2.84,overcast clouds
184,Prieska,ZA,-29.6641,22.7474,72.79,53,0,17.27,clear sky
185,Rocha,UY,-34.4833,-54.3333,58.57,80,0,3.15,clear sky
186,Adrar,MR,20.5022,-10.0711,70.68,12,100,4.7,overcast clouds
187,Hamilton,US,39.1834,-84.5333,17.02,85,75,1.99,broken clouds
188,Trincomalee,LK,8.5711,81.2335,80.82,79,15,11.56,few clouds
189,San Vicente,AR,-26.6167,-54.1333,62.17,91,23,3.8,few clouds
190,Lebu,CL,-37.6167,-73.65,57.7,92,4,4.72,clear sky
191,Stupava,SK,48.2747,17.0317,38.52,74,20,11.5,few clouds
192,Concepcion,CL,-36.827,-73.0498,62.4,82,100,3.44,overcast clouds
193,Powell River,CA,49.8496,-124.5361,41.0,93,75,3.44,broken clouds
194,Tigil,RU,57.8,158.6667,31.33,71,96,16.62,overcast clouds
195,Thompson,CA,55.7435,-97.8558,-7.44,77,100,0.0,overcast clouds
196,Ust-Nera,RU,64.5667,143.2,-6.38,99,100,2.21,overcast clouds
197,Anadyr,RU,64.75,177.4833,-5.01,83,20,6.71,mist
198,Cayhagan,PH,9.6697,122.4256,83.7,70,66,4.81,broken clouds
199,Gat,IL,31.61,34.7642,47.08,100,99,7.27,overcast clouds
200,Cayenne,GF,4.9333,-52.3333,74.08,91,100,6.91,overcast clouds
201,Jalu,LY,29.0331,21.5482,50.13,80,61,7.94,broken clouds
202,Dom Pedrito,BR,-30.9828,-54.6731,63.39,72,0,8.14,clear sky
203,Upernavik,GL,72.7868,-56.1549,9.12,71,100,3.36,overcast clouds
204,Wasilla,US,61.5814,-149.4394,31.55,61,0,24.16,light snow
205,Skara,SE,58.3866,13.4384,38.43,3,100,13.0,overcast clouds
206,Namibe,AO,-15.1961,12.1522,70.86,83,100,6.26,overcast clouds
207,Road Town,VG,18.4167,-64.6167,75.0,68,3,14.97,clear sky
208,Puerto Escondido,MX,15.85,-97.0667,81.43,65,75,0.0,broken clouds
209,Labuhan,ID,-6.8844,112.2051,85.14,68,98,6.91,overcast clouds
210,Saint-Philippe,RE,-21.3585,55.7679,79.11,76,0,6.69,clear sky
211,Balkhash,KZ,46.844,74.9804,5.61,78,0,13.42,clear sky
212,Puerto Ayacucho,VE,5.6639,-67.6236,75.65,48,72,5.95,broken clouds
213,Port Augusta,AU,-32.5,137.7667,95.7,34,0,14.88,clear sky
214,Nieuw Amsterdam,SR,5.8833,-55.0833,74.01,89,24,7.4,few clouds
215,Aklavik,CA,68.2191,-135.0107,-19.37,88,6,6.35,clear sky
216,Arawa,PG,-6.2132,155.5367,85.44,74,61,4.99,light rain
217,Jinchang,CN,38.4953,102.1739,30.81,22,0,7.52,clear sky
218,Ambunti,PG,-4.2365,142.8448,85.05,63,94,3.47,overcast clouds
219,Provideniya,RU,64.3833,-173.3,-0.94,97,15,3.31,few clouds
220,Orel-Izumrud,RU,43.4583,39.9244,33.82,80,75,7.0,broken clouds
221,Melendugno,IT,40.2747,18.3368,49.66,70,20,9.22,few clouds
222,Roald,NO,62.5833,6.1333,45.09,100,100,19.57,drizzle
223,Puerto Ayora,EC,-0.7393,-90.3518,73.54,94,71,1.01,broken clouds
224,Asau,RO,46.4333,26.4,31.28,92,62,4.54,broken clouds
225,Kruisfontein,ZA,-34.0033,24.7314,62.89,84,96,1.59,light rain
226,Grand Gaube,MU,-20.0064,57.6608,84.38,72,2,5.99,clear sky
227,Coihueco,CL,-36.6167,-71.8333,59.74,88,20,5.75,few clouds
228,Castro,BR,-24.7911,-50.0119,59.05,99,100,8.7,overcast clouds
229,Sinnamary,GF,5.3833,-52.95,75.02,87,33,6.55,scattered clouds
230,Praia Da Vitoria,PT,38.7333,-27.0667,56.75,82,20,10.71,few clouds
231,Baiao,BR,-2.7906,-49.6717,71.71,99,100,2.48,moderate rain
232,Norman Wells,CA,65.282,-126.8329,-9.36,70,75,9.22,light snow
233,Honningsvag,NO,70.9821,25.9704,28.71,60,98,6.42,overcast clouds
234,Danjiangkou,CN,32.5428,111.5086,40.03,74,100,0.96,moderate rain
235,Brae,GB,60.3964,-1.353,49.91,93,100,33.73,overcast clouds
236,Bolitoc,PH,15.7395,119.8769,84.49,68,64,4.36,broken clouds
237,La Palma,US,33.8464,-118.0467,68.02,14,20,5.99,few clouds
238,Nanortalik,GL,60.1432,-45.2371,27.14,78,100,12.71,light snow
239,Acapulco,MX,16.8634,-99.8901,76.78,78,0,3.8,clear sky
